50.0	0.000104618731356
51.0	0.000103094466613
52.0	0.000101570563064
53.0	0.000100043589954
54.0	9.85169607356e-05
55.0	9.69936131867e-05
56.0	9.54800083052e-05
57.0	9.39703007647e-05
58.0	9.2461239776e-05
59.0	9.09535445992e-05
60.0	8.94512714798e-05
61.0	8.79546262646e-05
62.0	8.64685977988e-05
63.0	8.49913012534e-05
64.0	8.35180323908e-05
65.0	8.20504912072e-05
66.0	8.05901637839e-05
67.0	7.91397253847e-05
68.0	7.77055400298e-05
69.0	7.62828129219e-05
70.0	7.48723071695e-05
71.0	7.34709868783e-05
72.0	7.20809026764e-05
73.0	7.07015368534e-05
74.0	6.93335347329e-05
75.0	6.79785534576e-05
76.0	6.66369810159e-05
77.0	6.53080934351e-05
78.0	6.39922336105e-05
79.0	6.26906802374e-05
80.0	6.14035919672e-05
81.0	6.01301401484e-05
82.0	5.88713968614e-05
83.0	5.76274074107e-05
84.0	5.63981881165e-05
85.0	5.51837295611e-05
86.0	5.39839995037e-05
87.0	5.27997661864e-05
88.0	5.16301017383e-05
89.0	5.0476490803e-05
90.0	4.93371974487e-05
91.0	4.82128651838e-05
92.0	4.71033277201e-05
93.0	4.60098498558e-05
94.0	4.49321627902e-05
95.0	4.3869310046e-05
96.0	4.28230926445e-05
97.0	4.17918410059e-05
98.0	4.07772379784e-05
99.0	3.97782749811e-05
100.0	3.87952477353e-05
101.0	3.78278006511e-05
102.0	3.6876783669e-05
103.0	3.59417907844e-05
104.0	3.50224288716e-05
105.0	3.41188817246e-05
106.0	3.32318568336e-05
107.0	3.23603617106e-05
108.0	3.15045273481e-05
109.0	3.06649837048e-05
110.0	2.98407561653e-05
111.0	2.90324402176e-05
112.0	2.82395817512e-05
113.0	2.74622314497e-05
114.0	2.66999430559e-05
115.0	2.59532291451e-05
116.0	2.52216280235e-05
117.0	2.45051508667e-05
118.0	2.38033477272e-05
119.0	2.31166659432e-05
120.0	2.24450784227e-05
121.0	2.17881219262e-05
122.0	2.11457699842e-05
123.0	2.05175743656e-05
124.0	1.99039149528e-05
125.0	1.93047377905e-05
126.0	1.87195887714e-05
127.0	1.81484179942e-05
128.0	1.75911684572e-05
129.0	1.70474019962e-05
130.0	1.65166973956e-05
131.0	1.59997396849e-05
132.0	1.54953742914e-05
133.0	1.50039165247e-05
134.0	1.4525307327e-05
135.0	1.40587982355e-05
136.0	1.36046878944e-05
137.0	1.31625852785e-05
138.0	1.2732441668e-05
139.0	1.23138808451e-05
140.0	1.19071772622e-05
141.0	1.15113277114e-05
142.0	1.11269252263e-05
143.0	1.07536081867e-05
144.0	1.03910283449e-05
145.0	1.00394438451e-05
146.0	9.69821450335e-06
147.0	9.36730628049e-06
148.0	9.04668132996e-06
149.0	8.73601715528e-06
150.0	8.43555770446e-06
151.0	8.14470761847e-06
152.0	7.86343775221e-06
153.0	7.5917155806e-06
154.0	7.32897899069e-06
155.0	7.07520965856e-06
156.0	6.83012925112e-06
157.0	6.59372248313e-06
158.0	6.36522036732e-06
159.0	6.14462921609e-06
160.0	5.93195134591e-06
161.0	5.7269444179e-06
162.0	5.52913644562e-06
163.0	5.33878015365e-06
164.0	5.1551840425e-06
165.0	4.97860426147e-06
166.0	4.80860181362e-06
167.0	4.64520350875e-06
168.0	4.48798950513e-06
169.0	4.33699435526e-06
170.0	4.19203230247e-06
171.0	4.05313731923e-06
172.0	3.91970590325e-06
173.0	3.7919948002e-06
174.0	3.66983417695e-06
175.0	3.55285569188e-06
176.0	3.44110890234e-06
177.0	3.33443973643e-06
178.0	3.23269903774e-06
179.0	3.13574238794e-06
180.0	3.04323708248e-06
181.0	2.95505403327e-06
182.0	2.87106819162e-06
183.0	2.79097180564e-06
184.0	2.71502269927e-06
185.0	2.64255326258e-06
186.0	2.5736455946e-06
187.0	2.50837711305e-06
188.0	2.4462902606e-06
189.0	2.3872954701e-06
190.0	2.33130587383e-06
191.0	2.27840854644e-06
192.0	2.22817730251e-06
193.0	2.18053816253e-06
194.0	2.13558542637e-06
195.0	2.09307994063e-06
196.0	2.05279142883e-06
197.0	2.01498141331e-06
198.0	1.97910290968e-06
199.0	1.94541941056e-06
200.0	1.91371445028e-06
201.0	1.88377948732e-06
202.0	1.85572007158e-06
203.0	1.82933365326e-06
204.0	1.80457529231e-06
205.0	1.78125253369e-06
206.0	1.75947459671e-06
207.0	1.7390542388e-06
208.0	1.71981095809e-06
209.0	1.70185707295e-06
210.0	1.68501672321e-06
211.0	1.66912033902e-06
212.0	1.65428271142e-06
213.0	1.64033840453e-06
214.0	1.62726442339e-06
215.0	1.61490309704e-06
216.0	1.60323639431e-06
217.0	1.59224676494e-06
218.0	1.58191712522e-06
219.0	1.57210043333e-06
220.0	1.56278403784e-06
221.0	1.55382755151e-06
222.0	1.54534933746e-06
223.0	1.53721187618e-06
224.0	1.52940709025e-06
225.0	1.52180354461e-06
226.0	1.51439683294e-06
227.0	1.50706125673e-06
228.0	1.50003648307e-06
229.0	1.49307665283e-06
230.0	1.48618087249e-06
231.0	1.47934826478e-06
232.0	1.47257796834e-06
233.0	1.46586913736e-06
234.0	1.45910668072e-06
235.0	1.45240597977e-06
236.0	1.44565386037e-06
237.0	1.43885233154e-06
238.0	1.43211380591e-06
239.0	1.42510880137e-06
240.0	1.41817054262e-06
241.0	1.41097489743e-06
242.0	1.40374262092e-06
243.0	1.3963693718e-06
244.0	1.38885932836e-06
245.0	1.38121656106e-06
246.0	1.37334162906e-06
247.0	1.36524089785e-06
248.0	1.35702232222e-06
249.0	1.34848764183e-06
